Acc.No,Acc.Date,Title,Author,Publisher,Callno,price
1,06-12-2004,DEWEY DECIMAL CLASSIFICATION: VOLI- INTRODUCTION TABLES,MELVIL DEWEY,OCLC ONLINE COMP,025.431  DEW/DEW I,1500
2,06-12-2004,DEWEY DECIMAL CLASSIFICATION: VOLII- SCHEDULES,MELVIL DEWEY,OCLC ONLINE COMP,025.431  DEW/DEW II,1500
3,06-12-2004,DEWEY DECIMAL CLASSIFICATION: VOLIII- INDEX,MELVIL DEWEY,OCLC ONLINE COMP,025.431  DEW/DEW III,1500
4,06-12-2004,A TEXT BOOK OF ENGINEERING MECHANICS : VOL 1 STATICS,EMS NAIR,EPD,620.1  NAI/TEX,120
5,06-12-2004,A TEXT BOOK OF ENGINEERING MECHANICS : VOL 1 STATICS,EMS NAIR,EPD,620.1  NAI/TEX 1,120
6,06-12-2004,PHYSICS FOR ENGINEERS,B PREMLET,PHASOR BOOKS,530  PRE/PHY,130
7,06-12-2004,PHYSICS FOR ENGINEERS,B PREMLET,PHASOR BOOKS,530  PRE/PHY 1,130
8,06-12-2004,UNDERSTANDING DATA COMMUNICATIONS AND NETWORKS,WILLIAM A SHAY,BOOKS/COLE PUB,005.71  SHA/UND,350
9,06-12-2004,UNDERSTANDING DATA COMMUNICATIONS AND NETWORKS,WILLIAM A SHAY,BOOKS/COLE PUB,005.71  SHA/UND 1,350
10,06-12-2004,INDUSTRIAL ELECTRONICS,PAUL B ZBAR,TATA MCGRAW-HILL PB,629  ZBA/IND,175
11,06-12-2004,INDUSTRIAL ELECTRONICS,PUAL B ZBAR,TATA MCGRAW HILL PB,629  ZBA/IND 1,175
12,06-12-2004,NETWORK ANALYSIS & SYNTHESIS,FRANKLIN F KUO,JOHN WILEY & SONS,621.319 2  KUO/NET,297.5
13,06-12-2004,NETWORK ANALYSIS & SYNTHESIS,FRANKLIN F KUO,JOHN WILEY & SONS,621.319 2  KUO/NET 1,297.5
14,06-12-2004,ELECTRONIC ENGINEERING MATERIALS AND DEVICES,JOHN ALLISON,TATA MCGRAW-HILL PUB,621.381 5  ALL/ELE,120
15,06-12-2004,SCHAUMS OUTLINE OF THEORY AND PROBLEMS OF ELECTROMAGNETICS,JOSEPH A EDMINISTER,SCHAUMS,530.141  EDM/SCH,236
16,06-12-2004,ENGINEERING THERMODYNAMICS: WORK AND HEAT TRANSFER,GFC ROGERS ,ELBS,621.402 1  ROG/ENG,306
17,06-12-2004,COMMUNICATION SYSTEMS,SIMON HAYKIN,JOHN WILEY,621.382  HAY/COM,444
18,06-12-2004,COMPUTER SYSTEM ARCHITECTURE,M MORRIS MANO,PHI,004.22  MAN/COM,175
19,06-12-2004,"PULSE,DIGITAL AND SWITCHING WAVEFORMS",JACOB MILLMAN ,TMH,621.381 53  MIL/PUL,240
20,06-12-2004,MODERNS FILTERS,SIMON HAYKIN,MACMILLAN,621.381 5  HAY/MOD,420
